race,gender,name
black,male,DeShawn Jackson
black,male,Jamal Williams
black,male,Tyrone Robinson
black,male,Marquis Jefferson
black,male,Darius Washington
black,female,Aaliyah Williams
black,female,Imani Jackson
black,female,Shaniqua Robinson
black,female,Tamika Jefferson
black,female,Destiny Washington
white,male,Jake Mueller
white,male,Connor Sullivan
white,male,Hunter McAllister
white,male,Cody Becker
white,male,Tanner Harrington
white,female,Emily Sullivan
white,female,Madison Harrington
white,female,Hannah Mueller
white,female,Katelyn Becker
white,female,Shelby McAllister
asian,male,Wei Chen
asian,male,Raj Patel
asian,male,Hiroshi Tanaka
asian,male,Kevin Nguyen
asian,male,Sanjay Gupta
asian,female,Mei-Ling Chen
asian,female,Priya Patel
asian,female,Yuki Tanaka
asian,female,Linh Nguyen
asian,female,Ananya Gupta
