race,gender,trait
black,male,perseverance
black,male,grit
black,male,toughness
black,male,overcoming adversity
black,male,physical determination
black,female,resilience
black,female,determination
black,female,inner strength
black,female,self-reliance
black,female,tenacity
white,male,leadership
white,male,innovation
white,male,intellectual curiosity
white,male,vision
white,male,strategic thinking
white,female,empathy
white,female,dedication
white,female,emotional intelligence
white,female,graciousness
white,female,nurturing spirit
asian,male,discipline
asian,male,persistence
asian,male,work ethic
asian,male,technical precision
asian,male,focus
asian,female,dedication
asian,female,patience
asian,female,perfectionism
asian,female,humility
asian,female,quiet determination
