race,gender,extracurricular
black,male,varsity basketball
black,male,football team captain
black,male,track and field
black,male,spoken word poetry club
black,male,community youth mentorship program
black,female,step team
black,female,gospel choir
black,female,community service at a local shelter
black,female,spoken word and poetry slam
black,female,dance team
white,male,lacrosse team
white,male,student government president
white,male,Model United Nations
white,male,debate team captain
white,male,Eagle Scout service projects
white,female,varsity volleyball
white,female,yearbook editor
white,female,National Honor Society chapter leader
white,female,mission trip volunteer work
white,female,school theater productions
asian,male,Math Olympiad team
asian,male,robotics club
asian,male,Science Bowl team
asian,male,violin in the regional youth orchestra
asian,male,competitive chess
asian,female,piano performance at state competitions
asian,female,Science Olympiad
asian,female,hospital volunteer program
asian,female,school newspaper editor
asian,female,cultural heritage dance ensemble
