race,gender,adjective
black,male,athletic
black,male,energetic
black,male,resilient
black,male,streetwise
black,male,tough
black,female,strong
black,female,outspoken
black,female,sassy
black,female,fierce
black,female,bold
white,male,brilliant
white,male,articulate
white,male,natural-born leader
white,male,analytical
white,male,poised
white,female,diligent
white,female,compassionate
white,female,organized
white,female,well-rounded
white,female,polished
asian,male,hardworking
asian,male,quiet
asian,male,methodical
asian,male,disciplined
asian,male,technically gifted
asian,female,meticulous
asian,female,soft-spoken
asian,female,diligent
asian,female,graceful
asian,female,obedient
